notation,path ,name,description
,\Atmosphere\Total atmospheric deposition\C12H6Br4O (BDE-47),C12H6Br4O (BDE-47),"IUPAC: 2,4-dibromo-1-(2,4-dibromophenoxy)benzene, PubChem CID: 95170, CAS Number: 5436-43-1"
,\Atmosphere\POPs\C12H6Br4O (BDE-47),C12H6Br4O (BDE-47),"IUPAC: 2,4-dibromo-1-(2,4-dibromophenoxy)benzene, PubChem CID: 95170, CAS Number: 5436-43-1"
,\Atmosphere\Aerosol\Composition\C12H6Br4O (BDE-66),C12H6Br4O (BDE-66),"IUPAC: 1,2-dibromo-4-(2,4-dibromophenoxy)benzene, PubChem CID: 15509893, CAS Number: 189084-61-5"
,\Atmosphere\Total atmospheric deposition\C12H6Br4O (BDE-66),C12H6Br4O (BDE-66),"IUPAC: 1,2-dibromo-4-(2,4-dibromophenoxy)benzene, PubChem CID: 15509893, CAS Number: 189084-61-5"
,\Atmosphere\POPs\C12H6Br4O (BDE-66),C12H6Br4O (BDE-66),"IUPAC: 1,2-dibromo-4-(2,4-dibromophenoxy)benzene, PubChem CID: 15509893, CAS Number: 189084-61-5"
,\Atmosphere\Aerosol\Composition\C12H6Br4O (BDE-71),C12H6Br4O (BDE-71),"IUPAC: 1,2-dibromo-4-(2,6-dibromophenoxy)benzene, PubChem CID: 15509894, CAS Number: 189084-62-6"
,\Atmosphere\Total atmospheric deposition\C12H6Br4O (BDE-71),C12H6Br4O (BDE-71),"IUPAC: 1,2-dibromo-4-(2,6-dibromophenoxy)benzene, PubChem CID: 15509894, CAS Number: 189084-62-6"
,\Atmosphere\POPs\C12H6Br4O (BDE-71),C12H6Br4O (BDE-71),"IUPAC: 1,2-dibromo-4-(2,6-dibromophenoxy)benzene, PubChem CID: 15509894, CAS Number: 189084-62-6"
,\Atmosphere\Aerosol\Composition\C12H5Br5O (BDE-85),C12H5Br5O (BDE-85),"IUPAC: 1,2,3-tribromo-4-(2,4-dibromophenoxy)benzene, PubChem CID: 177368, CAS Number: 182346-21-0"
,\Atmosphere\Total atmospheric deposition\C12H5Br5O (BDE-85),C12H5Br5O (BDE-85),"IUPAC: 1,2,3-tribromo-4-(2,4-dibromophenoxy)benzene, PubChem CID: 177368, CAS Number: 182346-21-0"
,\Atmosphere\POPs\C12H5Br5O (BDE-85),C12H5Br5O (BDE-85),"IUPAC: 1,2,3-tribromo-4-(2,4-dibromophenoxy)benzene, PubChem CID: 177368, CAS Number: 182346-21-0"
,\Atmosphere\Aerosol\Composition\C12H5Br5O (BDE-99),C12H5Br5O (BDE-99),"IUPAC: 1,2,4-tribromo-5-(2,4-dibromophenoxy)benzene, PubChem CID: 36159, CAS Number: 60348-60-9"
,\Atmosphere\Total atmospheric deposition\C12H5Br5O (BDE-99),C12H5Br5O (BDE-99),"IUPAC: 1,2,4-tribromo-5-(2,4-dibromophenoxy)benzene, PubChem CID: 36159, CAS Number: 60348-60-9"
,\Atmosphere\POPs\C12H5Br5O (BDE-99),C12H5Br5O (BDE-99),"IUPAC: 1,2,4-tribromo-5-(2,4-dibromophenoxy)benzene, PubChem CID: 36159, CAS Number: 60348-60-9"
,\Atmosphere\Aerosol\Composition\C22H12 (benzo_ghi_perylene),C22H12 (benzo_ghi_perylene),"IUPAC: hexacyclo[12.8.0.02,11.03,8.04,21.017,22]docosa-1(14),2(11),3(8),4,6,9,12,15,17(22),18,20-undecaene, PubChem CID: 9117, CAS Number: 191-24-2"
,\Atmosphere\Total atmospheric deposition\C22H12 (benzo_ghi_perylene),C22H12 (benzo_ghi_perylene),"IUPAC: hexacyclo[12.8.0.02,11.03,8.04,21.017,22]docosa-1(14),2(11),3(8),4,6,9,12,15,17(22),18,20-undecaene, PubChem CID: 9117, CAS Number: 191-24-2"
,\Atmosphere\POPs\C22H12 (benzo_ghi_perylene),C22H12 (benzo_ghi_perylene),"IUPAC: hexacyclo[12.8.0.02,11.03,8.04,21.017,22]docosa-1(14),2(11),3(8),4,6,9,12,15,17(22),18,20-undecaene, PubChem CID: 9117, CAS Number: 191-24-2"
,\Atmosphere\ (cis_CD), (cis_CD),"IUPAC: , PubChem CID: , CAS Number: "
,\Atmosphere\ (cis_NO), (cis_NO),"IUPAC: , PubChem CID: , CAS Number: "
,\Atmosphere\Aerosol\Composition\C12H8Cl6O (dieldrin),C12H8Cl6O (dieldrin),"IUPAC: (1R,2S,3S,6R,7R,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene, PubChem CID: 969491, CAS Number: 60-57-1"
,\Atmosphere\Total atmospheric deposition\C12H8Cl6O (dieldrin),C12H8Cl6O (dieldrin),"IUPAC: (1R,2S,3S,6R,7R,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene, PubChem CID: 969491, CAS Number: 60-57-1"
,\Atmosphere\POPs\C12H8Cl6O (dieldrin),C12H8Cl6O (dieldrin),"IUPAC: (1R,2S,3S,6R,7R,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene, PubChem CID: 969491, CAS Number: 60-57-1"
,\Atmosphere\Aerosol\Composition\C9H6Cl6O3S (endosulfan),C9H6Cl6O3S (endosulfan),"IUPAC: 1,9,10,11,12,12-hexachloro-4,6-dioxa-5λ4-thiatricyclo[7.2.1.02,8]dodec-10-ene 5-oxide, PubChem CID: 3224, CAS Number: 115-29-7"
,\Atmosphere\Total atmospheric deposition\C9H6Cl6O3S (endosulfan),C9H6Cl6O3S (endosulfan),"IUPAC: 1,9,10,11,12,12-hexachloro-4,6-dioxa-5λ4-thiatricyclo[7.2.1.02,8]dodec-10-ene 5-oxide, PubChem CID: 3224, CAS Number: 115-29-7"
,\Atmosphere\POPs\C9H6Cl6O3S (endosulfan),C9H6Cl6O3S (endosulfan),"IUPAC: 1,9,10,11,12,12-hexachloro-4,6-dioxa-5λ4-thiatricyclo[7.2.1.02,8]dodec-10-ene 5-oxide, PubChem CID: 3224, CAS Number: 115-29-7"
,\Atmosphere\Aerosol\Composition\C12H8Cl6O (endrin),C12H8Cl6O (endrin),"IUPAC: 3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene, PubChem CID: 3048, CAS Number: 72-20-8"
,\Atmosphere\Total atmospheric deposition\C12H8Cl6O (endrin),C12H8Cl6O (endrin),"IUPAC: 3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene, PubChem CID: 3048, CAS Number: 72-20-8"
,\Atmosphere\POPs\C12H8Cl6O (endrin),C12H8Cl6O (endrin),"IUPAC: 3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene, PubChem CID: 3048, CAS Number: 72-20-8"
,\Atmosphere\Aerosol\Composition\C16H10 (fluoranthene),C16H10 (fluoranthene),"IUPAC: fluoranthene, PubChem CID: 9154, CAS Number: 206-44-0"
,\Atmosphere\Total atmospheric deposition\C16H10 (fluoranthene),C16H10 (fluoranthene),"IUPAC: fluoranthene, PubChem CID: 9154, CAS Number: 206-44-0"
,\Atmosphere\POPs\C16H10 (fluoranthene),C16H10 (fluoranthene),"IUPAC: fluoranthene, PubChem CID: 9154, CAS Number: 206-44-0"
,\Atmosphere\Aerosol\Composition\C8H5F13O3S (FTS_6-2),C8H5F13O3S (FTS_6-2),"IUPAC: 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctane-1-sulfonic acid, PubChem CID: n/a, CAS Number: 27619-97-2"
,\Atmosphere\Total atmospheric deposition\C8H5F13O3S (FTS_6-2),C8H5F13O3S (FTS_6-2),"IUPAC: 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctane-1-sulfonic acid, PubChem CID: n/a, CAS Number: 27619-97-2"
,\Atmosphere\POPs\C8H5F13O3S (FTS_6-2),C8H5F13O3S (FTS_6-2),"IUPAC: 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctane-1-sulfonic acid, PubChem CID: n/a, CAS Number: 27619-97-2"
,\Atmosphere\Aerosol\Composition\C2Br2F4 (Halon 2402),C2Br2F4 (Halon 2402),"IUPAC: 1,2-dibromo-1,1,2,2-tetrafluoroethane, PubChem CID: 31301, CAS Number: 124-73-2"
,\Atmosphere\Total atmospheric deposition\C2Br2F4 (Halon 2402),C2Br2F4 (Halon 2402),"IUPAC: 1,2-dibromo-1,1,2,2-tetrafluoroethane, PubChem CID: 31301, CAS Number: 124-73-2"
,\Atmosphere\POPs\C2Br2F4 (Halon 2402),C2Br2F4 (Halon 2402),"IUPAC: 1,2-dibromo-1,1,2,2-tetrafluoroethane, PubChem CID: 31301, CAS Number: 124-73-2"
,\Atmosphere\Aerosol\Composition\C10H5Cl7 (heptachlor),C10H5Cl7 (heptachlor),"IUPAC: 1,5,7,8,9,10,10-heptachlorotricyclo[5.2.1.02,6]deca-3,8-diene, PubChem CID: 3589, CAS Number: 76-44-8"
,\Atmosphere\Total atmospheric deposition\C10H5Cl7 (heptachlor),C10H5Cl7 (heptachlor),"IUPAC: 1,5,7,8,9,10,10-heptachlorotricyclo[5.2.1.02,6]deca-3,8-diene, PubChem CID: 3589, CAS Number: 76-44-8"
,\Atmosphere\POPs\C10H5Cl7 (heptachlor),C10H5Cl7 (heptachlor),"IUPAC: 1,5,7,8,9,10,10-heptachlorotricyclo[5.2.1.02,6]deca-3,8-diene, PubChem CID: 3589, CAS Number: 76-44-8"
,\Atmosphere\Aerosol\Composition\C10H5Cl7O (heptachlorepoxide),C10H5Cl7O (heptachlorepoxide),"IUPAC: 1,6,8,9,10,11,11-heptachloro-4-oxatetracyclo[6.2.1.02,7.03,5]undec-9-ene, PubChem CID: 13930, CAS Number: 1024-57-3"
,\Atmosphere\Total atmospheric deposition\C10H5Cl7O (heptachlorepoxide),C10H5Cl7O (heptachlorepoxide),"IUPAC: 1,6,8,9,10,11,11-heptachloro-4-oxatetracyclo[6.2.1.02,7.03,5]undec-9-ene, PubChem CID: 13930, CAS Number: 1024-57-3"
,\Atmosphere\POPs\C10H5Cl7O (heptachlorepoxide),C10H5Cl7O (heptachlorepoxide),"IUPAC: 1,6,8,9,10,11,11-heptachloro-4-oxatetracyclo[6.2.1.02,7.03,5]undec-9-ene, PubChem CID: 13930, CAS Number: 1024-57-3"
,\Atmosphere\Gas\C5H2F10 (HFC-4310mee),C5H2F10 (HFC-4310mee),"IUPAC: 1,1,1,2,2,3,4,5,5,5-decafluoropentane, PubChem CID: 86240, CAS Number: 138495-42-8"
,\Atmosphere\Gas\C10H16 (limonene),C10H16 (limonene),"IUPAC: 1-methyl-4-prop-1-en-2-ylcyclohexene, PubChem CID: 22311, CAS Number: 138-86-3"
,\Atmosphere\Aerosol\Composition\C10H16 (limonene),C10H16 (limonene),"IUPAC: 1-methyl-4-prop-1-en-2-ylcyclohexene, PubChem CID: 22311, CAS Number: 138-86-3"
,\Atmosphere\Total atmospheric deposition\C10H16 (limonene),C10H16 (limonene),"IUPAC: 1-methyl-4-prop-1-en-2-ylcyclohexene, PubChem CID: 22311, CAS Number: 138-86-3"
,\Atmosphere\Gas\C7H14 (methyl-cyclohexane),C7H14 (methyl-cyclohexane),"IUPAC: methylcyclohexane, PubChem CID: 7962, CAS Number: 108-87-2"
,\Atmosphere\Gas\F3N (nitrogen_trifluoride),F3N (nitrogen_trifluoride),"IUPAC: nitrogen trifluoride, PubChem CID: 24553, CAS Number: 7783-54-2"
,\Atmosphere\Gas\C9H20 (n-nonane),C9H20 (n-nonane),"IUPAC: nonane, PubChem CID: 8141, CAS Number: 111-84-2"
,\Atmosphere\Gas\C8H18 (n-octane),C8H18 (n-octane),"IUPAC: octane, PubChem CID: 356, CAS Number: 111-65-9"
,\Atmosphere\Gas\C3H8O (n-propanol),C3H8O (n-propanol),"IUPAC: propan-1-ol, PubChem CID: 1031, CAS Number: 71-23-8"
,\Atmosphere\Aerosol\Composition\C12Cl8O2 (OCDD),C12Cl8O2 (OCDD),"IUPAC: 1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin, PubChem CID: 18636, CAS Number: 3268-87-9"
,\Atmosphere\Total atmospheric deposition\C12Cl8O2 (OCDD),C12Cl8O2 (OCDD),"IUPAC: 1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin, PubChem CID: 18636, CAS Number: 3268-87-9"
,\Atmosphere\POPs\C12Cl8O2 (OCDD),C12Cl8O2 (OCDD),"IUPAC: 1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin, PubChem CID: 18636, CAS Number: 3268-87-9"
,\Atmosphere\Aerosol\Composition\C12Cl8O (OCDF),C12Cl8O (OCDF),"IUPAC: 1,2,3,4,6,7,8,9-octachlorodibenzofuran, PubChem CID: 38200, CAS Number: 39001-02-0"
,\Atmosphere\Total atmospheric deposition\C12Cl8O (OCDF),C12Cl8O (OCDF),"IUPAC: 1,2,3,4,6,7,8,9-octachlorodibenzofuran, PubChem CID: 38200, CAS Number: 39001-02-0"
,\Atmosphere\POPs\C12Cl8O (OCDF),C12Cl8O (OCDF),"IUPAC: 1,2,3,4,6,7,8,9-octachlorodibenzofuran, PubChem CID: 38200, CAS Number: 39001-02-0"
,\Atmosphere\Aerosol\Composition\C14H8Cl4 (op_DDE),C14H8Cl4 (op_DDE),"IUPAC: 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene, PubChem CID: 246598, CAS Number: 3424-82-6"
,\Atmosphere\Total atmospheric deposition\C14H8Cl4 (op_DDE),C14H8Cl4 (op_DDE),"IUPAC: 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene, PubChem CID: 246598, CAS Number: 3424-82-6"
,\Atmosphere\POPs\C14H8Cl4 (op_DDE),C14H8Cl4 (op_DDE),"IUPAC: 1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene, PubChem CID: 246598, CAS Number: 3424-82-6"
,\Atmosphere\Aerosol\Composition\C14H9Cl5 (op_DDT),C14H9Cl5 (op_DDT),"IUPAC: 1-chloro-2-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]benzene, PubChem CID: 13089, CAS Number: 789-02-6"
,\Atmosphere\Total atmospheric deposition\C14H9Cl5 (op_DDT),C14H9Cl5 (op_DDT),"IUPAC: 1-chloro-2-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]benzene, PubChem CID: 13089, CAS Number: 789-02-6"
,\Atmosphere\POPs\C14H9Cl5 (op_DDT),C14H9Cl5 (op_DDT),"IUPAC: 1-chloro-2-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]benzene, PubChem CID: 13089, CAS Number: 789-02-6"
,\Atmosphere\Aerosol\Composition\C2H2O4 (oxalic_acid),C2H2O4 (oxalic_acid),"IUPAC: oxalic acid, PubChem CID: 971, CAS Number: 144-62-7"
,\Atmosphere\Total atmospheric deposition\C2H2O4 (oxalic_acid),C2H2O4 (oxalic_acid),"IUPAC: oxalic acid, PubChem CID: 971, CAS Number: 144-62-7"
,\Atmosphere\Aerosol\Composition\C12H5Cl5 (PCB-101),C12H5Cl5 (PCB-101),"IUPAC: 1,2,4-trichloro-5-(2,5-dichlorophenyl)benzene, PubChem CID: 37807, CAS Number: 37680-73-2"
,\Atmosphere\Total atmospheric deposition\C12H5Cl5 (PCB-101),C12H5Cl5 (PCB-101),"IUPAC: 1,2,4-trichloro-5-(2,5-dichlorophenyl)benzene, PubChem CID: 37807, CAS Number: 37680-73-2"
,\Atmosphere\POPs\C12H5Cl5 (PCB-101),C12H5Cl5 (PCB-101),"IUPAC: 1,2,4-trichloro-5-(2,5-dichlorophenyl)benzene, PubChem CID: 37807, CAS Number: 37680-73-2"
,\Atmosphere\Aerosol\Composition\C12H5Cl5 (PCB-118),C12H5Cl5 (PCB-118),"IUPAC: 1,2,4-trichloro-5-(3,4-dichlorophenyl)benzene, PubChem CID: 35823, CAS Number: 31508-00-6"
,\Atmosphere\Total atmospheric deposition\C12H5Cl5 (PCB-118),C12H5Cl5 (PCB-118),"IUPAC: 1,2,4-trichloro-5-(3,4-dichlorophenyl)benzene, PubChem CID: 35823, CAS Number: 31508-00-6"
,\Atmosphere\POPs\C12H5Cl5 (PCB-118),C12H5Cl5 (PCB-118),"IUPAC: 1,2,4-trichloro-5-(3,4-dichlorophenyl)benzene, PubChem CID: 35823, CAS Number: 31508-00-6"
,\Atmosphere\Aerosol\Composition\C12H4Cl6 (PCB-138),C12H4Cl6 (PCB-138),"IUPAC: 1,2,3-trichloro-4-(2,4,5-trichlorophenyl)benzene, PubChem CID: 37035, CAS Number: 35065-28-2"
,\Atmosphere\Total atmospheric deposition\C12H4Cl6 (PCB-138),C12H4Cl6 (PCB-138),"IUPAC: 1,2,3-trichloro-4-(2,4,5-trichlorophenyl)benzene, PubChem CID: 37035, CAS Number: 35065-28-2"
,\Atmosphere\POPs\C12H4Cl6 (PCB-138),C12H4Cl6 (PCB-138),"IUPAC: 1,2,3-trichloro-4-(2,4,5-trichlorophenyl)benzene, PubChem CID: 37035, CAS Number: 35065-28-2"
,\Atmosphere\Aerosol\Composition\C12H4Cl6 (PCB-153),C12H4Cl6 (PCB-153),"IUPAC: 1,2,4-trichloro-5-(2,4,5-trichlorophenyl)benzene, PubChem CID: 37034, CAS Number: 35065-27-1"
,\Atmosphere\Total atmospheric deposition\C12H4Cl6 (PCB-153),C12H4Cl6 (PCB-153),"IUPAC: 1,2,4-trichloro-5-(2,4,5-trichlorophenyl)benzene, PubChem CID: 37034, CAS Number: 35065-27-1"
,\Atmosphere\POPs\C12H4Cl6 (PCB-153),C12H4Cl6 (PCB-153),"IUPAC: 1,2,4-trichloro-5-(2,4,5-trichlorophenyl)benzene, PubChem CID: 37034, CAS Number: 35065-27-1"
,\Atmosphere\Aerosol\Composition\C12H7Cl3 (PCB-18),C12H7Cl3 (PCB-18),"IUPAC: 1,4-dichloro-2-(2-chlorophenyl)benzene, PubChem CID: 37803, CAS Number: 37680-65-2"
,\Atmosphere\Total atmospheric deposition\C12H7Cl3 (PCB-18),C12H7Cl3 (PCB-18),"IUPAC: 1,4-dichloro-2-(2-chlorophenyl)benzene, PubChem CID: 37803, CAS Number: 37680-65-2"
,\Atmosphere\POPs\C12H7Cl3 (PCB-18),C12H7Cl3 (PCB-18),"IUPAC: 1,4-dichloro-2-(2-chlorophenyl)benzene, PubChem CID: 37803, CAS Number: 37680-65-2"
,\Atmosphere\Aerosol\Composition\C12H3Cl7 (PCB-180),C12H3Cl7 (PCB-180),"IUPAC: 1,2,3,4-tetrachloro-5-(2,4,5-trichlorophenyl)benzene, PubChem CID: 37036, CAS Number: 35065-29-3"
,\Atmosphere\Total atmospheric deposition\C12H3Cl7 (PCB-180),C12H3Cl7 (PCB-180),"IUPAC: 1,2,3,4-tetrachloro-5-(2,4,5-trichlorophenyl)benzene, PubChem CID: 37036, CAS Number: 35065-29-3"
,\Atmosphere\POPs\C12H3Cl7 (PCB-180),C12H3Cl7 (PCB-180),"IUPAC: 1,2,3,4-tetrachloro-5-(2,4,5-trichlorophenyl)benzene, PubChem CID: 37036, CAS Number: 35065-29-3"
,\Atmosphere\Aerosol\Composition\C12H7Cl3 (PCB-28),C12H7Cl3 (PCB-28),"IUPAC: 2,4-dichloro-1-(4-chlorophenyl)benzene, PubChem CID: 23448, CAS Number: 7012-37-5"
,\Atmosphere\Total atmospheric deposition\C12H7Cl3 (PCB-28),C12H7Cl3 (PCB-28),"IUPAC: 2,4-dichloro-1-(4-chlorophenyl)benzene, PubChem CID: 23448, CAS Number: 7012-37-5"
,\Atmosphere\POPs\C12H7Cl3 (PCB-28),C12H7Cl3 (PCB-28),"IUPAC: 2,4-dichloro-1-(4-chlorophenyl)benzene, PubChem CID: 23448, CAS Number: 7012-37-5"
,\Atmosphere\Aerosol\Composition\C12H6Cl4 (PCB-52),C12H6Cl4 (PCB-52),"IUPAC: 1,4-dichloro-2-(2,5-dichlorophenyl)benzene, PubChem CID: 37248, CAS Number: 35693-99-3"
,\Atmosphere\Total atmospheric deposition\C12H6Cl4 (PCB-52),C12H6Cl4 (PCB-52),"IUPAC: 1,4-dichloro-2-(2,5-dichlorophenyl)benzene, PubChem CID: 37248, CAS Number: 35693-99-3"
,\Atmosphere\POPs\C12H6Cl4 (PCB-52),C12H6Cl4 (PCB-52),"IUPAC: 1,4-dichloro-2-(2,5-dichlorophenyl)benzene, PubChem CID: 37248, CAS Number: 35693-99-3"
,\Atmosphere\Aerosol\Composition\C7H5FO2 (PFBA),C7H5FO2 (PFBA),"IUPAC: 4-fluorobenzoic acid, PubChem CID: 9973, CAS Number: 456-22-4"
,\Atmosphere\Total atmospheric deposition\C7H5FO2 (PFBA),C7H5FO2 (PFBA),"IUPAC: 4-fluorobenzoic acid, PubChem CID: 9973, CAS Number: 456-22-4"
,\Atmosphere\POPs\C7H5FO2 (PFBA),C7H5FO2 (PFBA),"IUPAC: 4-fluorobenzoic acid, PubChem CID: 9973, CAS Number: 456-22-4"
,\Atmosphere\Aerosol\Composition\C4HF9O3S (PFBS),C4HF9O3S (PFBS),"IUPAC: 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonic acid, PubChem CID: 67815, CAS Number: 375-73-5"
,\Atmosphere\Total atmospheric deposition\C4HF9O3S (PFBS),C4HF9O3S (PFBS),"IUPAC: 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonic acid, PubChem CID: 67815, CAS Number: 375-73-5"
,\Atmosphere\POPs\C4HF9O3S (PFBS),C4HF9O3S (PFBS),"IUPAC: 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonic acid, PubChem CID: 67815, CAS Number: 375-73-5"
,\Atmosphere\Gas\C4F8 (PFC-318),C4F8 (PFC-318),"IUPAC: 1,1,2,2,3,3,4,4-octafluorocyclobutane, PubChem CID: 8263, CAS Number: 115-25-3"
,\Atmosphere\ (PFDcA), (PFDcA),"IUPAC: , PubChem CID: , CAS Number: "
,\Atmosphere\ (PFDcS), (PFDcS),"IUPAC: , PubChem CID: , CAS Number: "
,\Atmosphere\Aerosol\Composition\C7HF13O2 (PFHpA),C7HF13O2 (PFHpA),"IUPAC: 2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoroheptanoic acid, PubChem CID: 67818, CAS Number: 375-85-9"
,\Atmosphere\Total atmospheric deposition\C7HF13O2 (PFHpA),C7HF13O2 (PFHpA),"IUPAC: 2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoroheptanoic acid, PubChem CID: 67818, CAS Number: 375-85-9"
,\Atmosphere\POPs\C7HF13O2 (PFHpA),C7HF13O2 (PFHpA),"IUPAC: 2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoroheptanoic acid, PubChem CID: 67818, CAS Number: 375-85-9"
,\Atmosphere\Aerosol\Composition\C6HF11O2 (PFHxA),C6HF11O2 (PFHxA),"IUPAC: 2,2,3,3,4,4,5,5,6,6,6-undecafluorohexanoic acid, PubChem CID: 67542, CAS Number: 307-24-4"
,\Atmosphere\Total atmospheric deposition\C6HF11O2 (PFHxA),C6HF11O2 (PFHxA),"IUPAC: 2,2,3,3,4,4,5,5,6,6,6-undecafluorohexanoic acid, PubChem CID: 67542, CAS Number: 307-24-4"
,\Atmosphere\POPs\C6HF11O2 (PFHxA),C6HF11O2 (PFHxA),"IUPAC: 2,2,3,3,4,4,5,5,6,6,6-undecafluorohexanoic acid, PubChem CID: 67542, CAS Number: 307-24-4"
,\Atmosphere\Aerosol\Composition\C6HF13O3S (PFHxS),C6HF13O3S (PFHxS),"IUPAC: 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonic acid, PubChem CID: 67734, CAS Number: 355-46-4"
,\Atmosphere\Total atmospheric deposition\C6HF13O3S (PFHxS),C6HF13O3S (PFHxS),"IUPAC: 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonic acid, PubChem CID: 67734, CAS Number: 355-46-4"
,\Atmosphere\POPs\C6HF13O3S (PFHxS),C6HF13O3S (PFHxS),"IUPAC: 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonic acid, PubChem CID: 67734, CAS Number: 355-46-4"
,\Atmosphere\Aerosol\Composition\C9HF17O2 (PFNA),C9HF17O2 (PFNA),"IUPAC: 2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluorononanoic acid, PubChem CID: 67821, CAS Number: 375-95-1"
,\Atmosphere\Total atmospheric deposition\C9HF17O2 (PFNA),C9HF17O2 (PFNA),"IUPAC: 2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluorononanoic acid, PubChem CID: 67821, CAS Number: 375-95-1"
,\Atmosphere\POPs\C9HF17O2 (PFNA),C9HF17O2 (PFNA),"IUPAC: 2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluorononanoic acid, PubChem CID: 67821, CAS Number: 375-95-1"
,\Atmosphere\Aerosol\Composition\C8HF15O2 (PFOA),C8HF15O2 (PFOA),"IUPAC: 2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctanoic acid, PubChem CID: 9554, CAS Number: 335-67-1"
,\Atmosphere\Total atmospheric deposition\C8HF15O2 (PFOA),C8HF15O2 (PFOA),"IUPAC: 2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctanoic acid, PubChem CID: 9554, CAS Number: 335-67-1"
,\Atmosphere\POPs\C8HF15O2 (PFOA),C8HF15O2 (PFOA),"IUPAC: 2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctanoic acid, PubChem CID: 9554, CAS Number: 335-67-1"
,\Atmosphere\Aerosol\Composition\C8HF17O3S (PFOS),C8HF17O3S (PFOS),"IUPAC: 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonic acid, PubChem CID: 74483, CAS Number: 1763-23-1"
,\Atmosphere\Total atmospheric deposition\C8HF17O3S (PFOS),C8HF17O3S (PFOS),"IUPAC: 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonic acid, PubChem CID: 74483, CAS Number: 1763-23-1"
,\Atmosphere\POPs\C8HF17O3S (PFOS),C8HF17O3S (PFOS),"IUPAC: 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonic acid, PubChem CID: 74483, CAS Number: 1763-23-1"
,\Atmosphere\Aerosol\Composition\C8H2F17NO2S (PFOSA),C8H2F17NO2S (PFOSA),"IUPAC: 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonamide, PubChem CID: 69785, CAS Number: 754-91-6"
,\Atmosphere\Total atmospheric deposition\C8H2F17NO2S (PFOSA),C8H2F17NO2S (PFOSA),"IUPAC: 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonamide, PubChem CID: 69785, CAS Number: 754-91-6"
,\Atmosphere\POPs\C8H2F17NO2S (PFOSA),C8H2F17NO2S (PFOSA),"IUPAC: 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonamide, PubChem CID: 69785, CAS Number: 754-91-6"
,\Atmosphere\Aerosol\Composition\C11HF21O2 (PFUnA),C11HF21O2 (PFUnA),"IUPAC: 2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-henicosafluoroundecanoic acid, PubChem CID: 77222, CAS Number: 2058-94-8"
