#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r
136,argoPMEL,,>Co-sponsored>GOOS>Argo>ARGO PMEL,ARGO PMEL,NA,>Coparrainage>GOOS>Argo>ARGO PMEL,ARGO PMEL,s.o.,>Copatrocinado>SMOO>Argo>ARGO PMEL,ARGO PMEL,NA,>Совместно спонсируемая>ГСНО> Арго>ARGO PMEL,ARGO PMEL,NA
137,argoPoland,,>Co-sponsored>GOOS>Argo>ARGO POLAND,ARGO POLAND,NA,>Coparrainage>GOOS>Argo>ARGO POLAND,ARGO POLAND,s.o.,>Copatrocinado>SMOO>Argo>ARGO POLAND,ARGO POLAND,NA,>Совместно спонсируемая>ГСНО> Арго>ARGO POLAND,ARGO POLAND,NA
138,argoRussia,,>Co-sponsored>GOOS>Argo>ARGO RUSSIA,ARGO RUSSIA,NA,>Coparrainage>GOOS>Argo>ARGO RUSSIA,ARGO RUSSIA,s.o.,>Copatrocinado>SMOO>Argo>ARGO RUSSIA,ARGO RUSSIA,NA,>Совместно спонсируемая>ГСНО> Арго>ARGO RUSSIA,ARGO RUSSIA,NA
139,argoSaudiArabia,,>Co-sponsored>GOOS>Argo>ARGO SAUDI ARABIA,ARGO SAUDI ARABIA,NA,>Coparrainage>GOOS>Argo>ARGO SAUDI ARABIA,ARGO SAUDI ARABIA,s.o.,>Copatrocinado>SMOO>Argo>ARGO SAUDI ARABIA,ARGO SAUDI ARABIA,NA,>Совместно спонсируемая>ГСНО> Арго>ARGO SAUDI ARABIA,ARGO SAUDI ARABIA,NA
140,argoSIO,,>Co-sponsored>GOOS>Argo>ARGO SIO,ARGO SIO,NA,>Coparrainage>GOOS>Argo>ARGO SIO,ARGO SIO,s.o.,>Copatrocinado>SMOO>Argo>ARGO SIO,ARGO SIO,NA,>Совместно спонсируемая>ГСНО> Арго>ARGO SIO,ARGO SIO,NA
141,argoSIOEqASIRI,,>Co-sponsored>GOOS>Argo>ARGO SIO EQ (ASIRI),ARGO SIO EQ (ASIRI),NA,>Coparrainage>GOOS>Argo>ARGO SIO EQ (ASIRI),ARGO SIO EQ (ASIRI),s.o.,>Copatrocinado>SMOO>Argo>ARGO SIO EQ (ASIRI),ARGO SIO EQ (ASIRI),NA,>Совместно спонсируемая>ГСНО> Арго>ARGO SIO EQ (ASIRI),ARGO SIO EQ (ASIRI),NA
142,argoSIOEqOKMC,,>Co-sponsored>GOOS>Argo>ARGO SIO EQ. (OKMC),ARGO SIO EQ. (OKMC),NA,>Coparrainage>GOOS>Argo>ARGO SIO EQ. (OKMC),ARGO SIO EQ. (OKMC),s.o.,>Copatrocinado>SMOO>Argo>ARGO SIO EQ. (OKMC),ARGO SIO EQ. (OKMC),NA,>Совместно спонсируемая>ГСНО> Арго>ARGO SIO EQ. (OKMC),ARGO SIO EQ. (OKMC),NA
143,argoSouthAfrica,,>Co-sponsored>GOOS>Argo>ARGO SOUTH AFRICA,ARGO SOUTH AFRICA,NA,>Coparrainage>GOOS>Argo>ARGO SOUTH AFRICA,ARGO SOUTH AFRICA,s.o.,>Copatrocinado>SMOO>Argo>ARGO SOUTH AFRICA,ARGO SOUTH AFRICA,NA,>Совместно спонсируемая>ГСНО> Арго>ARGO SOUTH AFRICA,ARGO SOUTH AFRICA,NA
144,argoSpain,,>Co-sponsored>GOOS>Argo>ARGO SPAIN,ARGO SPAIN,NA,>Coparrainage>GOOS>Argo>ARGO SPAIN,ARGO SPAIN,s.o.,>Copatrocinado>SMOO>Argo>ARGO SPAIN,ARGO SPAIN,NA,>Совместно спонсируемая>ГСНО> Арго>ARGO SPAIN,ARGO SPAIN,NA
145,argoSriLanka,,>Co-sponsored>GOOS>Argo>ARGO SRI LANKA,ARGO SRI LANKA,NA,>Coparrainage>GOOS>Argo>ARGO SRI LANKA,ARGO SRI LANKA,s.o.,>Copatrocinado>SMOO>Argo>ARGO SRI LANKA,ARGO SRI LANKA,NA,>Совместно спонсируемая>ГСНО> Арго>ARGO SRI LANKA,ARGO SRI LANKA,NA
146,argoTWREng,,>Co-sponsored>GOOS>Argo>ARGO TWR ENGINEERING,ARGO TWR ENGINEERING,NA,>Coparrainage>GOOS>Argo>ARGO TWR ENGINEERING,ARGO TWR ENGINEERING,s.o.,>Copatrocinado>SMOO>Argo>ARGO TWR ENGINEERING,ARGO TWR ENGINEERING,NA,>Совместно спонсируемая>ГСНО> Арго>ARGO TWR ENGINEERING,ARGO TWR ENGINEERING,NA
147,argoUK,,>Co-sponsored>GOOS>Argo>ARGO UK,ARGO UK,NA,>Coparrainage>GOOS>Argo>ARGO UK,ARGO UK,s.o.,>Copatrocinado>SMOO>Argo>ARGO UK,ARGO UK,NA,>Совместно спонсируемая>ГСНО> Арго>ARGO UK,ARGO UK,NA
148,argoUKBIO,,>Co-sponsored>GOOS>Argo>ARGO UK BIO,ARGO UK BIO,NA,>Coparrainage>GOOS>Argo>ARGO UK BIO,ARGO UK BIO,s.o.,>Copatrocinado>SMOO>Argo>ARGO UK BIO,ARGO UK BIO,NA,>Совместно спонсируемая>ГСНО> Арго>ARGO UK BIO,ARGO UK BIO,NA
149,argoUKEq,,>Co-sponsored>GOOS>Argo>ARGO UK EQ.,ARGO UK EQ.,NA,>Coparrainage>GOOS>Argo>ARGO UK EQ.,ARGO UK EQ.,s.o.,>Copatrocinado>SMOO>Argo>ARGO UK EQ.,ARGO UK EQ.,NA,>Совместно спонсируемая>ГСНО> Арго>ARGO UK EQ.,ARGO UK EQ.,NA
150,argoUW,,>Co-sponsored>GOOS>Argo>ARGO UW,ARGO UW,NA,>Coparrainage>GOOS>Argo>ARGO UW,ARGO UW,s.o.,>Copatrocinado>SMOO>Argo>ARGO UW,ARGO UW,NA,>Совместно спонсируемая>ГСНО> Арго>ARGO UW,ARGO UW,NA
151,argoUWEq,,>Co-sponsored>GOOS>Argo>ARGO UW EQ.,ARGO UW EQ.,NA,>Coparrainage>GOOS>Argo>ARGO UW EQ.,ARGO UW EQ.,s.o.,>Copatrocinado>SMOO>Argo>ARGO UW EQ.,ARGO UW EQ.,NA,>Совместно спонсируемая>ГСНО> Арго>ARGO UW EQ.,ARGO UW EQ.,NA
152,argoUWAplEq,,>Co-sponsored>GOOS>Argo>ARGO UW-APL EQ.,ARGO UW-APL EQ.,NA,>Coparrainage>GOOS>Argo>ARGO UW-APL EQ.,ARGO UW-APL EQ.,s.o.,>Copatrocinado>SMOO>Argo>ARGO UW-APL EQ.,ARGO UW-APL EQ.,NA,>Совместно спонсируемая>ГСНО> Арго>ARGO UW-APL EQ.,ARGO UW-APL EQ.,NA
153,argoUWMbariEq,,>Co-sponsored>GOOS>Argo>ARGO UW-MBARI EQ.,ARGO UW-MBARI EQ.,NA,>Coparrainage>GOOS>Argo>ARGO UW-MBARI EQ.,ARGO UW-MBARI EQ.,s.o.,>Copatrocinado>SMOO>Argo>ARGO UW-MBARI EQ.,ARGO UW-MBARI EQ.,NA,>Совместно спонсируемая>ГСНО> Арго>ARGO UW-MBARI EQ.,ARGO UW-MBARI EQ.,NA
154,argoUWSoccomEq,,>Co-sponsored>GOOS>Argo>ARGO UW-SOCCOM EQ.,ARGO UW-SOCCOM EQ.,NA,>Coparrainage>GOOS>Argo>ARGO UW-SOCCOM EQ.,ARGO UW-SOCCOM EQ.,s.o.,>Copatrocinado>SMOO>Argo>ARGO UW-SOCCOM EQ.,ARGO UW-SOCCOM EQ.,NA,>Совместно спонсируемая>ГСНО> Арго>ARGO UW-SOCCOM EQ.,ARGO UW-SOCCOM EQ.,NA
155,argoUWSpursEq,,>Co-sponsored>GOOS>Argo>ARGO UW-SPURS  EQ.,ARGO UW-SPURS  EQ.,NA,>Coparrainage>GOOS>Argo>ARGO UW-SPURS  EQ.,ARGO UW-SPURS  EQ.,s.o.,>Copatrocinado>SMOO>Argo>ARGO UW-SPURS  EQ.,ARGO UW-SPURS  EQ.,NA,>Совместно спонсируемая>ГСНО> Арго>ARGO UW-SPURS EQ.,ARGO UW-SPURS EQ.,NA
156,argoUWUAEq,,>Co-sponsored>GOOS>Argo>ARGO UW-UA EQ.,ARGO UW-UA EQ.,NA,>Coparrainage>GOOS>Argo>ARGO UW-UA EQ.,ARGO UW-UA EQ.,s.o.,>Copatrocinado>SMOO>Argo>ARGO UW-UA EQ.,ARGO UW-UA EQ.,NA,>Совместно спонсируемая>ГСНО> Арго>ARGO UW-UA EQ.,ARGO UW-UA EQ.,NA
157,argoWHOI,,>Co-sponsored>GOOS>Argo>ARGO WHOI,ARGO WHOI,NA,>Coparrainage>GOOS>Argo>ARGO WHOI,ARGO WHOI,s.o.,>Copatrocinado>SMOO>Argo>ARGO WHOI,ARGO WHOI,NA,>Совместно спонсируемая>ГСНО> Арго>ARGO WHOI,ARGO WHOI,NA
158,argoWHOIEqIR,,>Co-sponsored>GOOS>Argo>ARGO WHOI EQ. IR,ARGO WHOI EQ. IR,NA,>Coparrainage>GOOS>Argo>ARGO WHOI EQ. IR,ARGO WHOI EQ. IR,s.o.,>Copatrocinado>SMOO>Argo>ARGO WHOI EQ. IR,ARGO WHOI EQ. IR,NA,>Совместно спонсируемая>ГСНО> Арго>ARGO WHOI EQ. IR,ARGO WHOI EQ. IR,NA
159,argoWHOIMRVEq,,>Co-sponsored>GOOS>Argo>ARGO WHOI-MRV EQ.,ARGO WHOI-MRV EQ.,NA,>Coparrainage>GOOS>Argo>ARGO WHOI-MRV EQ.,ARGO WHOI-MRV EQ.,s.o.,>Copatrocinado>SMOO>Argo>ARGO WHOI-MRV EQ.,ARGO WHOI-MRV EQ.,NA,>Совместно спонсируемая>ГСНО> Арго>ARGO WHOI-MRV EQ.,ARGO WHOI-MRV EQ.,NA
169,argoBulargo,,>Co-sponsored>GOOS>Argo>BULARGO,BULARGO,NA,>Coparrainage>GOOS>Argo>BULARGO,BULARGO,s.o.,>Copatrocinado>SMOO>Argo>BULARGO,BULARGO,NA,>Совместно спонсируемая>ГСНО> Арго>BULARGO,BULARGO,NA
175,argoCoriolis,,>Co-sponsored>GOOS>Argo>CORIOLIS,CORIOLIS,NA,>Coparrainage>GOOS>Argo>CORIOLIS,CORIOLIS,s.o.,>Copatrocinado>SMOO>Argo>CORIOLIS,CORIOLIS,NA,>Совместно спонсируемая>ГСНО> Арго>CORIOLIS,CORIOLIS,NA
176,argoCoriolisBioargo,,>Co-sponsored>GOOS>Argo>CORIOLIS-BIOARGO,CORIOLIS-BIOARGO,NA,>Coparrainage>GOOS>Argo>CORIOLIS-BIOARGO,CORIOLIS-BIOARGO,s.o.,>Copatrocinado>SMOO>Argo>CORIOLIS-BIOARGO,CORIOLIS-BIOARGO,NA,>Совместно спонсируемая>ГСНО> Арго>CORIOLIS-BIOARGO,CORIOLIS-BIOARGO,NA
177,argoCoriolisCanoa,,>Co-sponsored>GOOS>Argo>CORIOLIS-CANOA,CORIOLIS-CANOA,NA,>Coparrainage>GOOS>Argo>CORIOLIS-CANOA,CORIOLIS-CANOA,s.o.,>Copatrocinado>SMOO>Argo>CORIOLIS-CANOA,CORIOLIS-CANOA,NA,>Совместно спонсируемая>ГСНО> Арго>CORIOLIS-CANOA,CORIOLIS-CANOA,NA
178,argoCoriolisCongas,,>Co-sponsored>GOOS>Argo>CORIOLIS-CONGAS,CORIOLIS-CONGAS,NA,>Coparrainage>GOOS>Argo>CORIOLIS-CONGAS,CORIOLIS-CONGAS,s.o.,>Copatrocinado>SMOO>Argo>CORIOLIS-CONGAS,CORIOLIS-CONGAS,NA,>Совместно спонсируемая>ГСНО> Арго>CORIOLIS-CONGAS,CORIOLIS-CONGAS,NA
179,argoCoriolisDrake,,>Co-sponsored>GOOS>Argo>CORIOLIS-DRAKE,CORIOLIS-DRAKE,NA,>Coparrainage>GOOS>Argo>CORIOLIS-DRAKE,CORIOLIS-DRAKE,s.o.,>Copatrocinado>SMOO>Argo>CORIOLIS-DRAKE,CORIOLIS-DRAKE,NA,>Совместно спонсируемая>ГСНО> Арго>CORIOLIS-DRAKE,CORIOLIS-DRAKE,NA
180,argoCoriolisEGEE,,>Co-sponsored>GOOS>Argo>CORIOLIS-EGEE,CORIOLIS-EGEE,NA,>Coparrainage>GOOS>Argo>CORIOLIS-EGEE,CORIOLIS-EGEE,s.o.,>Copatrocinado>SMOO>Argo>CORIOLIS-EGEE,CORIOLIS-EGEE,NA,>Совместно спонсируемая>ГСНО> Арго>CORIOLIS-EGEE,CORIOLIS-EGEE,NA
181,argoCoriolisEqypt,,>Co-sponsored>GOOS>Argo>CORIOLIS-EGYPT,CORIOLIS-EGYPT,NA,>Coparrainage>GOOS>Argo>CORIOLIS-EGYPT,CORIOLIS-EGYPT,s.o.,>Copatrocinado>SMOO>Argo>CORIOLIS-EGYPT,CORIOLIS-EGYPT,NA,>Совместно спонсируемая>ГСНО> Арго>CORIOLIS-EGYPT,CORIOLIS-EGYPT,NA
182,argoCoriolisFlops,,>Co-sponsored>GOOS>Argo>CORIOLIS-FLOPS,CORIOLIS-FLOPS,NA,>Coparrainage>GOOS>Argo>CORIOLIS-FLOPS,CORIOLIS-FLOPS,s.o.,>Copatrocinado>SMOO>Argo>CORIOLIS-FLOPS,CORIOLIS-FLOPS,NA,>Совместно спонсируемая>ГСНО> Арго>CORIOLIS-FLOPS,CORIOLIS-FLOPS,NA
183,argoCoriolisFlostral,,>Co-sponsored>GOOS>Argo>CORIOLIS-FLOSTRAL,CORIOLIS-FLOSTRAL,NA,>Coparrainage>GOOS>Argo>CORIOLIS-FLOSTRAL,CORIOLIS-FLOSTRAL,s.o.,>Copatrocinado>SMOO>Argo>CORIOLIS-FLOSTRAL,CORIOLIS-FLOSTRAL,NA,>Совместно спонсируемая>ГСНО> Арго>CORIOLIS-FLOSTRAL,CORIOLIS-FLOSTRAL,NA
184,argoCoriolisFNOBJCOMMOPS,,>Co-sponsored>GOOS>Argo>CORIOLIS-FNOB-JCOMMOPS,CORIOLIS-FNOB-JCOMMOPS,NA,>Coparrainage>GOOS>Argo>CORIOLIS-FNOB-JCOMMOPS,CORIOLIS-FNOB-JCOMMOPS,s.o.,>Copatrocinado>SMOO>Argo>CORIOLIS-FNOB-JCOMMOPS,CORIOLIS-FNOB-JCOMMOPS,NA,>Совместно спонсируемая>ГСНО> Арго>CORIOLIS-FNOB-JCOMMOPS,CORIOLIS-FNOB-JCOMMOPS,NA
185,argoCoriolisFrontalis,,>Co-sponsored>GOOS>Argo>CORIOLIS-FRONTALIS,CORIOLIS-FRONTALIS,NA,>Coparrainage>GOOS>Argo>CORIOLIS-FRONTALIS,CORIOLIS-FRONTALIS,s.o.,>Copatrocinado>SMOO>Argo>CORIOLIS-FRONTALIS,CORIOLIS-FRONTALIS,NA,>Совместно спонсируемая>ГСНО> Арго>CORIOLIS-FRONTALIS,CORIOLIS-FRONTALIS,NA
186,argoCoriolisGoodHope,,>Co-sponsored>GOOS>Argo>CORIOLIS-GOOD HOPE,CORIOLIS-GOOD HOPE,NA,>Coparrainage>GOOS>Argo>CORIOLIS-GOOD HOPE,CORIOLIS-GOOD HOPE,s.o.,>Copatrocinado>SMOO>Argo>CORIOLIS-GOOD HOPE,CORIOLIS-GOOD HOPE,NA,>Совместно спонсируемая>ГСНО> Арго>CORIOLIS-GOOD HOPE,CORIOLIS-GOOD HOPE,NA
187,argoCoriolisOvide,,>Co-sponsored>GOOS>Argo>CORIOLIS-OVIDE,CORIOLIS-OVIDE,NA,>Coparrainage>GOOS>Argo>CORIOLIS-OVIDE,CORIOLIS-OVIDE,s.o.,>Copatrocinado>SMOO>Argo>CORIOLIS-OVIDE,CORIOLIS-OVIDE,NA,>Совместно спонсируемая>ГСНО> Арго>CORIOLIS-OVIDE,CORIOLIS-OVIDE,NA
188,argoCoriolisPirata,,>Co-sponsored>GOOS>Argo>CORIOLIS-PIRATA,CORIOLIS-PIRATA,NA,>Coparrainage>GOOS>Argo>CORIOLIS-PIRATA,CORIOLIS-PIRATA,s.o.,>Copatrocinado>SMOO>Argo>CORIOLIS-PIRATA,CORIOLIS-PIRATA,NA,>Совместно спонсируемая>ГСНО> Арго>CORIOLIS-PIRATA,CORIOLIS-PIRATA,NA
189,argoCoriolisPrevimer,,>Co-sponsored>GOOS>Argo>CORIOLIS-PREVIMER,CORIOLIS-PREVIMER,NA,>Coparrainage>GOOS>Argo>CORIOLIS-PREVIMER,CORIOLIS-PREVIMER,s.o.,>Copatrocinado>SMOO>Argo>CORIOLIS-PREVIMER,CORIOLIS-PREVIMER,NA,>Совместно спонсируемая>ГСНО> Арго>CORIOLIS-PREVIMER,CORIOLIS-PREVIMER,NA
190,argoCoriolisProsat,,>Co-sponsored>GOOS>Argo>CORIOLIS-PROSAT,CORIOLIS-PROSAT,NA,>Coparrainage>GOOS>Argo>CORIOLIS-PROSAT,CORIOLIS-PROSAT,s.o.,>Copatrocinado>SMOO>Argo>CORIOLIS-PROSAT,CORIOLIS-PROSAT,NA,>Совместно спонсируемая>ГСНО> Арго>CORIOLIS-PROSAT,CORIOLIS-PROSAT,NA
191,argoCoriolisRemocean,,>Co-sponsored>GOOS>Argo>CORIOLIS-REMOCEAN,CORIOLIS-REMOCEAN,NA,>Coparrainage>GOOS>Argo>CORIOLIS-REMOCEAN,CORIOLIS-REMOCEAN,s.o.,>Copatrocinado>SMOO>Argo>CORIOLIS-REMOCEAN,CORIOLIS-REMOCEAN,NA,>Совместно спонсируемая>ГСНО> Арго>CORIOLIS-REMOCEAN,CORIOLIS-REMOCEAN,NA
320,NA,,>Co-sponsored>GOOS>Argo>CORIOLIS-REMOCEAN EQ.,CORIOLIS-REMOCEAN EQ.,NA,>Coparrainage>GOOS>Argo>CORIOLIS-REMOCEAN EQ.,CORIOLIS-REMOCEAN EQ.,s.o.,>Copatrocinado>SMOO>Argo>CORIOLIS-REMOCEAN EQ.,CORIOLIS-REMOCEAN EQ.,NA,>Совместно спонсируемая>ГСНО> Арго>CORIOLIS-REMOCEAN EQ.,CORIOLIS-REMOCEAN EQ.,NA
192,argoCoriolisSpice,,>Co-sponsored>GOOS>Argo>CORIOLIS-SPICE,CORIOLIS-SPICE,NA,>Coparrainage>GOOS>Argo>CORIOLIS-SPICE,CORIOLIS-SPICE,s.o.,>Copatrocinado>SMOO>Argo>CORIOLIS-SPICE,CORIOLIS-SPICE,NA,>Совместно спонсируемая>ГСНО> Арго>CORIOLIS-SPICE,CORIOLIS-SPICE,NA
193,argoCoriolisTrack,,>Co-sponsored>GOOS>Argo>CORIOLIS-TRACK,CORIOLIS-TRACK,NA,>Coparrainage>GOOS>Argo>CORIOLIS-TRACK,CORIOLIS-TRACK,s.o.,>Copatrocinado>SMOO>Argo>CORIOLIS-TRACK,CORIOLIS-TRACK,NA,>Совместно спонсируемая>ГСНО> Арго>CORIOLIS-TRACK,CORIOLIS-TRACK,NA
196,argoDekosim,,>Co-sponsored>GOOS>Argo>DEKOSIM,DEKOSIM,NA,>Coparrainage>GOOS>Argo>DEKOSIM,DEKOSIM,s.o.,>Copatrocinado>SMOO>Argo>DEKOSIM,DEKOSIM,NA,>Совместно спонсируемая>ГСНО> Арго>DEKOSIM,DEKOSIM,NA
198,argoEAims,,>Co-sponsored>GOOS>Argo>E-AIMS,E-AIMS,NA,>Coparrainage>GOOS>Argo>E-AIMS,E-AIMS,s.o.,>Copatrocinado>SMOO>Argo>E-AIMS,E-AIMS,NA,>Совместно спонсируемая>ГСНО> Арго>E-AIMS,E-AIMS,NA
207,argoEurargo,,>Co-sponsored>GOOS>Argo>EUROARGO,EUROARGO,NA,>Coparrainage>GOOS>Argo>EUROARGO,EUROARGO,s.o.,>Copatrocinado>SMOO>Argo>EUROARGO,EUROARGO,NA,>Совместно спонсируемая>ГСНО> Арго>EUROARGO,EUROARGO,NA
213,argoGyroscope,,>Co-sponsored>GOOS>Argo>GYROSCOPE,GYROSCOPE,NA,>Coparrainage>GOOS>Argo>GYROSCOPE,GYROSCOPE,s.o.,>Copatrocinado>SMOO>Argo>GYROSCOPE,GYROSCOPE,NA,>Совместно спонсируемая>ГСНО> Арго>GYROSCOPE,GYROSCOPE,NA
228,argoDamocles,,>Co-sponsored>GOOS>Argo>ITP-DAMOCLES,ITP-DAMOCLES,NA,>Coparrainage>GOOS>Argo>ITP-DAMOCLES,ITP-DAMOCLES,s.o.,>Copatrocinado>SMOO>Argo>ITP-DAMOCLES,ITP-DAMOCLES,NA,>Совместно спонсируемая>ГСНО> Арго>ITP-DAMOCLES,ITP-DAMOCLES,NA
229,argoWHOI,,>Co-sponsored>GOOS>Argo>ITP-WHOI,ITP-WHOI,NA,>Coparrainage>GOOS>Argo>ITP-WHOI,ITP-WHOI,s.o.,>Copatrocinado>SMOO>Argo>ITP-WHOI,ITP-WHOI,NA,>Совместно спонсируемая>ГСНО> Арго>ITP-WHOI,ITP-WHOI,NA
234,argoMedargo,,>Co-sponsored>GOOS>Argo>MEDARGO,MEDARGO,NA,>Coparrainage>GOOS>Argo>MEDARGO,MEDARGO,s.o.,>Copatrocinado>SMOO>Argo>MEDARGO,MEDARGO,NA,>Совместно спонсируемая>ГСНО> Арго>MEDARGO,MEDARGO,NA
235,argoMeridianGoodHope,,>Co-sponsored>GOOS>Argo>MERIDIAN GOODHOPE,MERIDIAN GOODHOPE,NA,>Coparrainage>GOOS>Argo>MERIDIAN GOODHOPE,MERIDIAN GOODHOPE,s.o.,>Copatrocinado>SMOO>Argo>MERIDIAN GOODHOPE,MERIDIAN GOODHOPE,NA,>Совместно спонсируемая>ГСНО> Арго>MERIDIAN GOODHOPE,MERIDIAN GOODHOPE,NA
236,argoMersea,,>Co-sponsored>GOOS>Argo>MERSEA,MERSEA,NA,>Coparrainage>GOOS>Argo>MERSEA,MERSEA,s.o.,>Copatrocinado>SMOO>Argo>MERSEA,MERSEA,NA,>Совместно спонсируемая>ГСНО> Арго>MERSEA,MERSEA,NA
240,argoNaosFrance,,>Co-sponsored>GOOS>Argo>NAOS-FRANCE,NAOS-FRANCE,NA,>Coparrainage>GOOS>Argo>NAOS-FRANCE,NAOS-FRANCE,s.o.,>Copatrocinado>SMOO>Argo>NAOS-FRANCE,NAOS-FRANCE,NA,>Совместно спонсируемая>ГСНО> Арго> NAOS-FRANCE,NAOS-FRANCE,NA
68,NA,,>Co-sponsored>GOOS>DBCP,DBCP,NA,>Coparrainage>GOOS>DBCP,DBCP,s.o.,>Copatrocinado>SMOO>GCBD,GCBD,NA,>Совместно спонсируемая>ГСНО> DBCP,DBCP,NA
70,dbcpAOML,,>Co-sponsored>GOOS>DBCP>AOML,AOML,NA,>Coparrainage>GOOS>DBCP>AOML,AOML,s.o.,>Copatrocinado>SMOO>GCBD>AOML,AOML,NA,>Совместно спонсируемая>ГСНО> DBCP>AOML,AOML,NA
71,dbcpAOMLeSurfmar,,>Co-sponsored>GOOS>DBCP>AOML-E-SURFMAR,AOML-E-SURFMAR,NA,>Coparrainage>GOOS>DBCP>AOML-E-SURFMAR,AOML-E-SURFMAR,s.o.,>Copatrocinado>SMOO>GCBD>AOML-E-SURFMAR,AOML-E-SURFMAR,NA,>Совместно спонсируемая>ГСНО> DBCP>AOML-E-SURFMAR,AOML-E-SURFMAR,NA
330,NA,,>Co-sponsored>GOOS>DBCP>AOML-MF DB,AOML-MF DB,NA,>Coparrainage>GOOS>DBCP>AOML-MF DB,AOML-MF DB,s.o.,>Copatrocinado>SMOO>GCBD>AOML-MF DB,AOML-MF DB,NA,>Совместно спонсируемая>ГСНО> DBCP>AOML-MF DB,AOML-MF DB,NA
72,dbcpAPLUW,,>Co-sponsored>GOOS>DBCP>APL-UW,APL-UW,NA,>Coparrainage>GOOS>DBCP>APL-UW,APL-UW,s.o.,>Copatrocinado>SMOO>GCBD>APL-UW,APL-UW,NA,>Совместно спонсируемая>ГСНО> DBCP>APL-UW,APL-UW,NA
161,dbcpAWIDB,,>Co-sponsored>GOOS>DBCP>AWI-DB,AWI-DB,NA,>Coparrainage>GOOS>DBCP>AWI-DB,AWI-DB,s.o.,>Copatrocinado>SMOO>GCBD>AWI-DB,AWI-DB,NA,>Совместно спонсируемая>ГСНО> DBCP>AWI-DB,AWI-DB,NA
162,dbcpBomDB,,>Co-sponsored>GOOS>DBCP>BOM DB,BOM DB,NA,>Coparrainage>GOOS>DBCP>BOM DB,BOM DB,s.o.,>Copatrocinado>SMOO>GCBD>BOM DB,BOM DB,NA,>Совместно спонсируемая>ГСНО> DBCP>BOM DB,BOM DB,NA
163,dbcpBomTSU,,>Co-sponsored>GOOS>DBCP>BOM-TSU,BOM-TSU,NA,>Coparrainage>GOOS>DBCP>BOM-TSU,BOM-TSU,s.o.,>Copatrocinado>SMOO>GCBD>BOM-TSU,BOM-TSU,NA,>Совместно спонсируемая>ГСНО> DBCP>BOM-TSU,BOM-TSU,NA
164,dbcpBPInc,,>Co-sponsored>GOOS>DBCP>BP INC,BP INC,NA,>Coparrainage>GOOS>DBCP>BP INC,BP INC,s.o.,>Copatrocinado>SMOO>GCBD>BP INC,BP INC,NA,>Совместно спонсируемая>ГСНО> DBCP>BP INC,BP INC,NA
165,dbcpBrazilPNBOIAINPE,,>Co-sponsored>GOOS>DBCP>BRAZIL PNBOIA-INPE,BRAZIL PNBOIA-INPE,NA,>Coparrainage>GOOS>DBCP>BRAZIL PNBOIA-INPE,BRAZIL PNBOIA-INPE,s.o.,>Copatrocinado>SMOO>GCBD>BRAZIL PNBOIA-INPE,BRAZIL PNBOIA-INPE,NA,>Совместно спонсируемая>ГСНО> DBCP> BRAZIL PNBOIA-INPE,BRAZIL PNBOIA-INPE,NA
166,dbcpBshDWDFixed,,>Co-sponsored>GOOS>DBCP>BSH-DWD-FIXED,BSH-DWD-FIXED,NA,>Coparrainage>GOOS>DBCP>BSH-DWD-FIXED,BSH-DWD-FIXED,s.o.,>Copatrocinado>SMOO>GCBD>BSH-DWD-FIXED,BSH-DWD-FIXED,NA,>Совместно спонсируемая>ГСНО> DBCP>BSH-DWD-FIXED,BSH-DWD-FIXED,NA
167,dbcpBshDWDMD,,>Co-sponsored>GOOS>DBCP>BSH-DWD-MB,BSH-DWD-MB,NA,>Coparrainage>GOOS>DBCP>BSH-DWD-MB,BSH-DWD-MB,s.o.,>Copatrocinado>SMOO>GCBD>BSH-DWD-MB,BSH-DWD-MB,NA,>Совместно спонсируемая>ГСНО> DBCP>BSH-DWD-MB,BSH-DWD-MB,NA
168,dbcpBshMB,,>Co-sponsored>GOOS>DBCP>BSH-MB,BSH-MB,NA,>Coparrainage>GOOS>DBCP>BSH-MB,BSH-MB,s.o.,>Copatrocinado>SMOO>GCBD>BSH-MB,BSH-MB,NA,>Совместно спонсируемая>ГСНО> DBCP>BSH-MB,BSH-MB,NA
170,dbcpCandhis,,>Co-sponsored>GOOS>DBCP>CANDHIS,CANDHIS,NA,>Coparrainage>GOOS>DBCP>CANDHIS,CANDHIS,s.o.,>Copatrocinado>SMOO>GCBD>CANDHIS,CANDHIS,NA,>Совместно спонсируемая>ГСНО> DBCP>CANDHIS,CANDHIS,NA
171,dbcpCaricoos,,>Co-sponsored>GOOS>DBCP>CARICOOS,CARICOOS,NA,>Coparrainage>GOOS>DBCP>CARICOOS,CARICOOS,s.o.,>Copatrocinado>SMOO>GCBD>CARICOOS,CARICOOS,NA,>Совместно спонсируемая>ГСНО> DBCP>CARICOOS,CARICOOS,NA
172,dbcpCarioca,,>Co-sponsored>GOOS>DBCP>CARIOCA,CARIOCA,NA,>Coparrainage>GOOS>DBCP>CARIOCA,CARIOCA,s.o.,>Copatrocinado>SMOO>GCBD>CARIOCA,CARIOCA,NA,>Совместно спонсируемая>ГСНО> DBCP>CARIOCA,CARIOCA,NA
