dct:description,rdfs:label,skos:notation,Comment,Constraints,id,name
"'IUPAC: uranium-235, PubChem CID: 61784, CAS Number: 15117-96-1'@en",Uranium [U-235],'12236',,,197,Uranium [U-235]
"'IUPAC: uranium-238, PubChem CID: n/a, CAS Number: n/a'@en",Uranium [U-238],'12237',,,198,Uranium [U-238]
"'IUPAC: plutonium-238, PubChem CID: 61709, CAS Number: 13981-16-3'@en",Plutonium [Pu-238],'12238',,,199,Plutonium [Pu-238]
"'IUPAC: neptunium-239, PubChem CID: 104958, CAS Number: 13968-59-7'@en",Neptunium [Np-239],'12239',,,200,Neptunium [Np-239]
"'IUPAC: americium-241, PubChem CID: 104726, CAS Number: 14596-10-2'@en",Americium [Am-241],'12240',,,201,Americium [Am-241]
"'Sum of Plutonium isotopes: Pu-239 and Pu-240, IUPAC: plutonium-239, PubChem CID: 61782, CAS Number: 15117-48-3 and IUPAC: plutonium-239, PubChem CID: 61782, CAS Number: 15117-48-3'@en",Sum of Plutonium [Pu-239] and [Pu-240],'12241',,,202,Sum of Plutonium [Pu-239] and [Pu-240]
"'IUPAC: gold-198, PubChem CID: 66274, CAS Number: 10043-49-9'@en",Gold [Au-198],'12242',,,203,Gold [Au-198]
"'IUPAC: 1,2-dichloro-1,1-difluoroethane, PubChem CID: 15442, CAS Number: 1649-08-7, in gas phase'@en","C2H2Cl2F2 (1,2-dichloro-1,1-difluoroethane, HCFC-132b)",'12243',,,204,"C2H2Cl2F2 (1,2-dichloro-1,1-difluoroethane, HCFC-132b)"
"'IUPAC: 2-chloro-1,1,1-trifluoroethane, PubChem CID: 6408, CAS Number: 75-88-7, in gas phase'@en","C2H2ClF3 (2-chloro-1,1,1-trifluoroethane, HCFC-133a)",'12244',,,205,"C2H2ClF3 (2-chloro-1,1,1-trifluoroethane, HCFC-133a)"
'IUPAC: neodymium-137'@en,Neodymium [Nd-137],'12247',,,206,Neodymium [Nd-137]
"'IUPAC: 1,1,1,3,3,3-hexafluoropropane, PubChem CID: 12722, CAS Number: 690-39-1, in gas phase'@en","C3H2F6 (1,1,1,3,3,3-hexafluoropropane, HFC-236fa)",'12320',,,207,"C3H2F6 (1,1,1,3,3,3-hexafluoropropane, HFC-236fa)"
"'IUPAC: tellurium-131, PubChem CID: 6337051, CAS Number: 14683-12-6'@en",Tellurium [Te-131],'12321',,,208,Tellurium [Te-131]
"'IUPAC: methane, PubChem CID: 297, CAS Number: 74-82-8, in gas phase'@en",CH4 (methane),'192',,,209,CH4 (methane)
"'IUPAC: methane C-13, PubChem CID: 105026, CAS Number: 14762-74-4, in gas phase'@en","CH4 (methane, C-13)",'193',,,210,"CH4 (methane, C-13)"
"'IUPAC: carbon dioxide, PubChem CID: 280, CAS Number: 124-38-9, in gas phase'@en",CO2 (carbon dioxide),'194',,,211,CO2 (carbon dioxide)
"'IUPAC: n/a, PubChem CID: 10129882, CAS Number: 1111-72-4, in gas phase'@en","CO2 (carbon dioxide, C-13)",'195',,,212,"CO2 (carbon dioxide, C-13)"
'CO2 with O-18 isotope'@en,CO2 [O-18],'196',,,213,CO2 [O-18]
"'IUPAC: nitrous oxide, PubChem CID: 948, CAS Number: 10024-97-2, in gas phase'@en",N2O (nitrous oxide),'201',,,214,N2O (nitrous oxide)
"'IUPAC: hexafluoro-Î»6-sulfane, PubChem CID: 17358, CAS Number: 2551-62-4, in gas phase'@en",SF6 (sulfur hexafluoride),'203',,,215,SF6 (sulfur hexafluoride)
"'IUPAC: sulfuryl difluoride, PubChem CID: 17607, CAS Number: 2699-79-8, in gas phase'@en",SO2F2 (sulfuryl fluoride),'204',,,216,SO2F2 (sulfuryl fluoride)
"'IUPAC: molecular hydrogen, PubChem CID: 783, CAS Number: 1333-74-0, in gas phase'@en",H2 (hydrogen molecule),'205',,,217,H2 (hydrogen molecule)
"'IUPAC: oxidane, PubChem CID: 962, CAS Number: 7732-18-5, in gas phase'@en",H2O (as a chemical species),'206',,,218,H2O (as a chemical species)
"'IUPAC: n/a, PubChem CID: 139859, CAS Number: 14940-63-7, in gas phase'@en",HDO (as a chemical species),'207',,,219,HDO (as a chemical species)
"'IUPAC: beryllium-7, PubChem CID: 6335489, CAS Number: 13966-02-4'@en",Beryllium [Be-7],'219',,,220,Beryllium [Be-7]
'CO2 with C-14 isotope'@en,CO2 [C-14],'220',,,221,CO2 [C-14]
"'IUPAC: krypton-85, PubChem CID: 104816, CAS Number: 13983-27-2'@en",Krypton [Kr-85],'221',,,222,Krypton [Kr-85]
"'IUPAC: lead-210, PubChem CID: 6328175, CAS Number: 14255-04-0'@en",Lead [Pb-210],'222',,,223,Lead [Pb-210]
"'IUPAC: radon-222, PubChem CID: 61773, CAS Number: 14859-67-7'@en",Radon [Rn-222],'223',,,224,Radon [Rn-222]
'Kinetic energy density of turbulent motion of the air'@en,Turbulence,'249',OoI = Turbulence?,,225,Turbulence
'Ultraviolet radiation covering the range 280-315 nm.'@en,UV-B radiation,'273',with Constraint,UV-B,226,UV-B radiation
"'IUPAC: n/a, PubChem CID: 5460627, CAS Number: 15656-19-6, in gas phase'@en",BrO (bromine monoxide),'274',,,227,BrO (bromine monoxide)
"'IUPAC: 1,1,2,2-tetrachloroethene, PubChem CID: 31373, CAS Number: 127-18-4, in gas phase'@en",C2Cl4 (tetrachloroethene),'275',,,228,C2Cl4 (tetrachloroethene)
"'IUPAC: 1,1,2-trichloroethene, PubChem CID: 6575, CAS Number: 79-01-6, in gas phase'@en",C2HCl3 (trichloroethene),'276',,,229,C2HCl3 (trichloroethene)
"'IUPAC: dibromomethane, PubChem CID: 3024, CAS Number: 74-95-3, in gas phase'@en",CH2Br2 (dibromomethane),'277',,,230,CH2Br2 (dibromomethane)
"'IUPAC: dichloromethane, PubChem CID: 6344, CAS Number: 75-09-2, in gas phase'@en",CH2Cl2 (dichloromethane),'278',,,231,CH2Cl2 (dichloromethane)
"'IUPAC: bromomethane, PubChem CID: 6323, CAS Number: 74-83-9, in gas phase'@en",CH3Br (bromomethane),'279',,,232,CH3Br (bromomethane)
"'IUPAC: chloromethane, PubChem CID: 6327, CAS Number: 74-87-3, in gas phase'@en",CH3Cl (chloromethane),'280',,,233,CH3Cl (chloromethane)
"'IUPAC: iodomethane, PubChem CID: 6328, CAS Number: 74-88-4, in gas phase'@en",CH3I (iodomethane),'281',,,234,CH3I (iodomethane)
"'IUPAC: bromoform, PubChem CID: 5558, CAS Number: 75-25-2, in gas phase'@en",CHBr3 (bromoform),'282',,,235,CHBr3 (bromoform)
"'IUPAC: chloroform, PubChem CID: 6212, CAS Number: 67-66-3, in gas phase'@en","CHCl3 (trichloromethane, chloroform)",'283',,,236,"CHCl3 (trichloromethane, chloroform)"
"'IUPAC: carbon monoxide, PubChem CID: 281, CAS Number: 630-08-0, in gas phase'@en",CO,'284',,,237,CO
"'IUPAC: carbonyl difluoride, PubChem CID: 9623, CAS Number: 353-50-4, in gas phase'@en","COF2 (difluoromethanal, carbonyl fluoride)",'285',,,238,"COF2 (difluoromethanal, carbonyl fluoride)"
"'IUPAC: n/a, PubChem CID: 166686, CAS Number: 14989-30-1, in gas phase'@en",ClO (chlorine monoxide),'286',,,239,ClO (chlorine monoxide)
"'IUPAC: hydrogen peroxide, PubChem CID: 784, CAS Number: 7722-84-1, in gas phase'@en",H2O2 (hydrogen peroxide),'287',,,240,H2O2 (hydrogen peroxide)
"'IUPAC: chlorane, PubChem CID: 313, CAS Number: 7647-01-0, in gas phase'@en",HCl (hydrochloric acid),'288',,,241,HCl (hydrochloric acid)
"'IUPAC: fluorane, PubChem CID: 14917, CAS Number: 7664-39-3, in gas phase'@en",HF (hydrofluoric acid),'289',,,242,HF (hydrofluoric acid)
''@en,ROOH,'291',Organic Peroxide?,,243,ROOH
"'IUPAC: sulfur, PubChem CID: n/a, CAS Number: 7704-34-9, in total deposition'@en",S (sulfur),'302',,,244,S (sulfur)
"'IUPAC: bromo-chloro-difluoromethane, PubChem CID: 9625, CAS Number: 353-59-3, in gas phase'@en",CBrClF2 (Halon 1211),'332',,,245,CBrClF2 (Halon 1211)
"'IUPAC: bromo(trifluoro)methane, PubChem CID: 6384, CAS Number: 75-63-8, in gas phase'@en","CBrF3 (bromotrifluoromethane, Halon 1301)",'333',,,246,"CBrF3 (bromotrifluoromethane, Halon 1301)"
"'IUPAC: 9H-fluorene, PubChem CID: 6853, CAS Number: 86-73-7, in gas phase'@en","C13H10 (9H-fluorene, fluorene), in air",'334',with Matrix,,247,"C13H10 (9H-fluorene, fluorene), in air"
"'IUPAC: anthracene, PubChem CID: 8418, CAS Number: 120-12-7, in particle phase, PM10'@en","C14H10 (anthracene), PM10",'335',with Matrix and Constraint,,248,"C14H10 (anthracene), PM10"
"'IUPAC: anthracene, PubChem CID: 8418, CAS Number: 120-12-7, in particle phase'@en","C14H10 (anthracene), in aerosol",'336',with Constraint,,249,"C14H10 (anthracene), in aerosol"
"'IUPAC: anthracene, PubChem CID: 8418, CAS Number: 120-12-7, in aerosol'@en","C14H10 (anthracene), in air and aerosol",'337',with Constraint,,250,"C14H10 (anthracene), in air and aerosol"
"'IUPAC: anthracene, PubChem CID: 8418, CAS Number: 120-12-7, in gas phase'@en","C14H10 (anthracene), in air",'338',with Constraint,,251,"C14H10 (anthracene), in air"
"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in particle phase, PM10'@en","C14H10 (phenanthrene), PM10",'339',with Matrix and Constraint,,252,"C14H10 (phenanthrene), PM10"
"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in particle phase'@en","C14H10 (phenanthrene), in aerosol",'340',with Constraint,,253,"C14H10 (phenanthrene), in aerosol"
"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in gas phase'@en","C14H10 (phenanthrene), in air",'341',with Matrix,,254,"C14H10 (phenanthrene), in air"
"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in aerosol'@en","C14H10 (phenanthrene), in air and aerosol",'342',with Matrix,,255,"C14H10 (phenanthrene), in air and aerosol"
"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in wet deposition'@en","C14H10 (phenanthrene), in wet deposition",'343',with Matrix,,256,"C14H10 (phenanthrene), in wet deposition"
"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in total precipitation'@en","C14H10 (phenanthrene), in total precipitation",'344',with Matrix,,257,"C14H10 (phenanthrene), in total precipitation"
"'IUPAC: pyrene, PubChem CID: 31423, CAS Number: 129-00-0, in aerosol'@en","C16H10 (pyrene), in air and aerosol",'345',with Matrix,,258,"C16H10 (pyrene), in air and aerosol"
"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in particle phase, PM10'@en","C18H12 (benz(a)anthracene), PM10",'346',with Matrix and Constraint,,259,"C18H12 (benz(a)anthracene), PM10"
"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in particle phase'@en","C18H12 (benz(a)anthracene), in aerosol",'347',with Matrix,,260,"C18H12 (benz(a)anthracene), in aerosol"
"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in gas phase'@en","C18H12 (benz(a)anthracene), in air",'348',with Matrix,,261,"C18H12 (benz(a)anthracene), in air"
"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in aerosol'@en","C18H12 (benz(a)anthracene), in air and aerosol",'349',with Matrix,,262,"C18H12 (benz(a)anthracene), in air and aerosol"
"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in precipitation'@en","C18H12 (benz(a)anthracene), in precipitation",'350',with Matrix,,263,"C18H12 (benz(a)anthracene), in precipitation"
"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in total precipitation'@en","C18H12 (benz(a)anthracene), in total precipitation",'351',with Matrix,,264,"C18H12 (benz(a)anthracene), in total precipitation"
"'IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in particle phase'@en","C12H8Cl6 (aldrin), in aerosol",'375',with Matrix,,265,"C12H8Cl6 (aldrin), in aerosol"
"'IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in gas phase'@en","C12H8Cl6 (aldrin), in air",'376',with Matrix,,266,"C12H8Cl6 (aldrin), in air"
"'IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in aerosol'@en","C12H8Cl6 (aldrin), in air and aerosol",'377',with Matrix,,267,"C12H8Cl6 (aldrin), in air and aerosol"
"'IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in total precipitation'@en","C12H8Cl6 (aldrin), in total precipitation",'378',with Matrix,,268,"C12H8Cl6 (aldrin), in total precipitation"
"'IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in wet precipitation'@en","C12H8Cl6 (aldrin), in wet precipitation",'379',with Matrix,,269,"C12H8Cl6 (aldrin), in wet precipitation"
"'IUPAC: 1,2,3,4,5,6-hexachlorobenzene, PubChem CID: 8370, CAS Number: 118-74-1, in gas phase'@en","C6Cl6 (hexachlorobenzene, HCB), in air",'380',with Matrix,,270,"C6Cl6 (hexachlorobenzene, HCB), in air"
"'IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in particle phase'@en","C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in aerosol",'381',with Matrix,,271,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in aerosol"
"'IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in gas phase'@en","C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in air",'382',with Matrix,,272,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in air"
"'IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in wet deposition'@en","C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in wet precipitation",'383',with Matrix,,273,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in wet precipitation"
"'IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in gas phase'@en","C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, gamma-lindane, gamma-HCH), in air",'384',with Matrix,,274,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, gamma-lindane, gamma-HCH), in air"
"'IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in wet deposition'@en","C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, gamma-lindane, gamma-HCH), in wet precipitation",'385',with Matrix,,275,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, gamma-lindane, gamma-HCH), in wet precipitation"
"'IUPAC: azane, PubChem CID: 222, CAS Number: 7664-41-7, in gas phase'@en",NH3 (Ammonia),'390',,,276,NH3 (Ammonia)
"'IUPAC: nitro ethaneperoxoate, PubChem CID: 16782, CAS Number: 2278-22-0, in gas phase'@en","C2H3O5N (peroxyacetylnitrate, PAN)",'391',,,277,"C2H3O5N (peroxyacetylnitrate, PAN)"
"'IUPAC: chloro nitrate, PubChem CID: 114934, CAS Number: 14545-72-3, in gas phase'@en",ClONO2 (chlorine nitrate),'392',,,278,ClONO2 (chlorine nitrate)
"'IUPAC: formonitrile, PubChem CID: 768, CAS Number: 74-90-8, in gas phase'@en","HCN (formonitrile, hydrogen cyanide)",'393',,,279,"HCN (formonitrile, hydrogen cyanide)"
"'IUPAC: nitric acid, PubChem CID: 944, CAS Number: 7697-37-2, in gas phase'@en",HNO3 (nitric acid),'394',,,280,HNO3 (nitric acid)
"'IUPAC: nitric oxide, PubChem CID: 145068, CAS Number: 10102-43-9, in gas phase'@en",NO (nitrogen monoxide),'395',,,281,NO (nitrogen monoxide)
"'IUPAC: n/a, PubChem CID: 3032552, CAS Number: 10102-44-0, in gas phase'@en",NO2 (nitrogen dioxide),'396',,,282,NO2 (nitrogen dioxide)
''@en,NOx,'397',,,283,NOx
''@en,NOy,'398',,,284,NOy
"'IUPAC: 1,1,1,2,2,2-hexafluoroethane, PubChem CID: 6431, CAS Number: 76-16-4, in gas phase'@en","C2F6 (hexafluoroethane, PFC-116)",'419',,,285,"C2F6 (hexafluoroethane, PFC-116)"
"'IUPAC: 1,1,1,2,2,3,3,3-octafluoropropane, PubChem CID: 6432, CAS Number: 76-19-7, in gas phase'@en","C3F8 (octafluoropropane, PFC-218)",'420',,,286,"C3F8 (octafluoropropane, PFC-218)"
"'IUPAC: tetrafluoromethane, PubChem CID: 6393, CAS Number: 75-73-0, in gas phase'@en","CF4 (tetrafluoromethane, carbon tetrafluoride, perfluoromethane, PFC-14)",'421',,,287,"CF4 (tetrafluoromethane, carbon tetrafluoride, perfluoromethane, PFC-14)"
"'IUPAC: carbonyl sulfide, PubChem CID: 10039, CAS Number: 463-58-1, in gas phase'@en","COS (OCS, carbon oxide sulfide, carbonyl sulfide)",'428',,,288,"COS (OCS, carbon oxide sulfide, carbonyl sulfide)"
"'IUPAC: methanedithione, PubChem CID: 6348, CAS Number: 75-15-0, in gas phase'@en",CS2 (carbon disulfide),'429',,,289,CS2 (carbon disulfide)
"'IUPAC: sulfur dioxide, PubChem CID: 1119, CAS Number: 7446 09-5, in gas phase'@en",SO2,'430',,,290,SO2
"'IUPAC: acetylene, PubChem CID: 6326, CAS Number: 74-86-2, in gas phase'@en","C2H2 (ethyne, acetylene)",'434',,,291,"C2H2 (ethyne, acetylene)"
"'IUPAC: oxaldehyde, PubChem CID: 7860, CAS Number: 107-22-2, in gas phase'@en","C2H2O2 (oxaldehyde, ethanedial)",'435',,,292,"C2H2O2 (oxaldehyde, ethanedial)"
"'IUPAC: ethene, PubChem CID: 6325, CAS Number: 74-85-1, in gas phase'@en",C2H4 (ethene),'436',,,293,C2H4 (ethene)
"'IUPAC: ethane, PubChem CID: 6324, CAS Number: 74-84-0, in gas phase'@en",C2H6 (ethane),'437',,,294,C2H6 (ethane)
"'IUPAC: methylsulfanylmethane, PubChem CID: 1068, CAS Number: 75-18-3, in gas phase'@en","C2H6S (dimethylsulfide, DMS)",'438',,,295,"C2H6S (dimethylsulfide, DMS)"
"'IUPAC: prop-1-yne, PubChem CID: 6335, CAS Number: 74-99-7, in gas phase'@en",C3H4 (propyne),'439',,,296,C3H4 (propyne)
"'IUPAC: prop-2-enal, PubChem CID: 7847, CAS Number: 107-02-8, in gas phase'@en","C3H4O (prop-2-enal, acrolein)",'440',,,297,"C3H4O (prop-2-enal, acrolein)"
"'IUPAC: 2-oxopropanal, PubChem CID: 880, CAS Number: 78-98-8, in gas phase'@en","C3H4O2 (2-oxopropanal, methylglyoxal)",'441',,,298,"C3H4O2 (2-oxopropanal, methylglyoxal)"
"'IUPAC: prop-1-ene, PubChem CID: 8252, CAS Number: 115-07-1, in gas phase'@en",C3H6 (propene),'442',,,299,C3H6 (propene)
"'IUPAC: propan-2-one, PubChem CID: 180, CAS Number: 67-64-1, in gas phase'@en","C3H6O (acetone, propanone)",'443',,,300,"C3H6O (acetone, propanone)"
"'IUPAC: propanal, PubChem CID: 527, CAS Number: 123-38-6, in gas phase'@en",C3H6O (propanal),'444',,,301,C3H6O (propanal)
"'IUPAC: propane, PubChem CID: 6334, CAS Number: 74-98-6, in gas phase'@en",C3H8 (propane),'445',,,302,C3H8 (propane)
"'IUPAC: buta-1,3-diene, PubChem CID: 7845, CAS Number: 106-99-0, in gas phase'@en","C4H6 (1,3-butadiene, butadiene)",'446',,,303,"C4H6 (1,3-butadiene, butadiene)"
"'IUPAC: 2-methylprop-2-enal, PubChem CID: 6562, CAS Number: 78-85-3, in gas phase'@en","C4H6O (2-methylprop-2-enal, methacrolein)",'447',,,304,"C4H6O (2-methylprop-2-enal, methacrolein)"
"'IUPAC: but-3-en-2-one, PubChem CID: 6570, CAS Number: 78-94-4, in gas phase'@en","C4H6O (but-3-en-2-one, methylvinylketone)",'448',,,305,"C4H6O (but-3-en-2-one, methylvinylketone)"
"'IUPAC: but-1-ene, PubChem CID: 7844, CAS Number: 106-98-9, in gas phase'@en",C4H8 (1-butene),'449',,,306,C4H8 (1-butene)
''@en,C4H8 (sum of butenes),'450',,,307,C4H8 (sum of butenes)
"'IUPAC: butan-2-one, PubChem CID: 6569, CAS Number: 78-93-3, in gas phase'@en","C4H8O (butan-2-one, methylethylketone)",'451',,,308,"C4H8O (butan-2-one, methylethylketone)"
''@en,C4H8O (butanal isomers),'452',,,309,C4H8O (butanal isomers)
"'IUPAC: pent-1-ene, PubChem CID: 8004, CAS Number: 109-67-1, in gas phase'@en",C5H10 (1-pentene),'453',,,310,C5H10 (1-pentene)
"'IUPAC: 2-methylbut-1-ene, PubChem CID: 11240, CAS Number: 563-46-2, in gas phase'@en",C5H10 (2-methyl-1-butene),'454',,,311,C5H10 (2-methyl-1-butene)
"'IUPAC: 2-methylbut-2-ene, PubChem CID: 10553, CAS Number: 513-35-9, in gas phase'@en",C5H10 (2-methyl-2-butene),'455',,,312,C5H10 (2-methyl-2-butene)
"'IUPAC: 3-methylbut-1-ene, PubChem CID: 11239, CAS Number: 563-45-1, in gas phase'@en",C5H10 (3-methyl-1-butene),'456',,,313,C5H10 (3-methyl-1-butene)
"'IUPAC: cyclopentane, PubChem CID: 9253, CAS Number: 287-92-3, in gas phase'@en",C5H10 (cyclopentane),'457',,,314,C5H10 (cyclopentane)
''@en,C5H10 (sum of 1-pentene and 2-methyl-2-butene),'458',,,315,C5H10 (sum of 1-pentene and 2-methyl-2-butene)
''@en,C5H10 (sum of pentenes),'459',,,316,C5H10 (sum of pentenes)
"'IUPAC: pentanal, PubChem CID: 8063, CAS Number: 110-62-3, in gas phase'@en","C5H10O (pentanal, valeraldehyde)",'460',,,317,"C5H10O (pentanal, valeraldehyde)"
''@en,"C5H12 & C4H8 (sum of 2,2-dimethylpropane & c-2-butene)",'461',,,318,"C5H12 & C4H8 (sum of 2,2-dimethylpropane & c-2-butene)"
"'IUPAC: 2,2-dimethylpropane, PubChem CID: 10041, CAS Number: 463-82-1, in gas phase'@en","C5H12 (2,2-dimethylpropane)",'462',,,319,"C5H12 (2,2-dimethylpropane)"
"'IUPAC: 2,3-dimethylbutane, PubChem CID: 6589, CAS Number: 79-29-8, in gas phase'@en","C5H14 (2,3-dimethylbutane)",'463',,,320,"C5H14 (2,3-dimethylbutane)"
"'IUPAC: 2-methylbuta-1,3-diene, PubChem CID: 6557, CAS Number: 78-79-5, in gas phase'@en","C5H8 (2-methyl-1,3-butadiene, isoprene)",'464',,,321,"C5H8 (2-methyl-1,3-butadiene, isoprene)"
"'IUPAC: cyclopentene, PubChem CID: 8882, CAS Number: 142-29-0, in gas phase'@en",C5H8 (cyclopentene),'465',,,322,C5H8 (cyclopentene)
"'Sum of 3-methyl-1-butene and cyclopentane, in gas phase'@en","C5Hn, n=10 (sum of 3-methyl-1-butene and cyclopentene)",'466',,,323,"C5Hn, n=10 (sum of 3-methyl-1-butene and cyclopentene)"
"'Sum of n-pentane and cyclopentane, in gas phase'@en","C5Hn, n={12, 10} (sum of n-pentane and cyclopentane)",'467',,,324,"C5Hn, n={12, 10} (sum of n-pentane and cyclopentane)"
"'IUPAC: cyclohexane, PubChem CID: 8078, CAS Number: 110-82-7, in gas phase'@en",C6H12 (cyclohexane),'468',,,325,C6H12 (cyclohexane)
"'IUPAC: methylcyclopentane, PubChem CID: 7296, CAS Number: 96-37-7, in gas phase'@en",C6H12 (methylcyclopentane),'469',,,326,C6H12 (methylcyclopentane)
''@en,C6H12O (hexanal isomers),'470',,,327,C6H12O (hexanal isomers)
''@en,"C6H14 (2,2-dimethylbutane)",'471',,,328,"C6H14 (2,2-dimethylbutane)"
"'IUPAC: 2-methylpentane, PubChem CID: 7892, CAS Number: 107-83-5, in gas phase'@en",C6H14 (2-methylpentane),'472',,,329,C6H14 (2-methylpentane)
"'IUPAC: 3-methylpentane, PubChem CID: 7282, CAS Number: 96-14-0, in gas phase'@en",C6H14 (3-methylpentane),'473',,,330,C6H14 (3-methylpentane)
"'IUPAC: hexane, PubChem CID: 8058, CAS Number: 110-54-3, in gas phase'@en",C6H14 (n-hexane),'474',,,331,C6H14 (n-hexane)
''@en,C6H14 (sum of methylpentanes),'475',,,332,C6H14 (sum of methylpentanes)
"'IUPAC: benzene, PubChem CID: 241, CAS Number: 71-43-2, in gas phase'@en",C6H6 (benzene),'476',,,333,C6H6 (benzene)
"'sum of 3-methylpentane and cyclohexane, in gas phase'@en","C6Hn, n={14, 12} (sum of 3-methylpentane and cyclohexane)",'477',,,334,"C6Hn, n={14, 12} (sum of 3-methylpentane and cyclohexane)"
"'sum of 2,2-dimethylbutane and methylcyclopentane, in gas phase'@en","C6Hn, n={14, 12} (sum of 2,2-dimethylbutane and methylcyclopentane)",'478',,,335,"C6Hn, n={14, 12} (sum of 2,2-dimethylbutane and methylcyclopentane)"
"'sum of 2,3-dimethylbutane and methylcyclopentane, in gas phase'@en","C6Hn, n={14, 12} (sum of 2,3-dimethylbutane and methylcyclopentane)",'479',,,336,"C6Hn, n={14, 12} (sum of 2,3-dimethylbutane and methylcyclopentane)"
''@en,C7H16 (sum of methylhexanes),'480',,,337,C7H16 (sum of methylhexanes)
''@en,C7H6O (benzene carbaldehyde),'481',,,338,C7H6O (benzene carbaldehyde)
"'IUPAC: toluene, PubChem CID: 1140, CAS Number: 108-88-3, in gas phase'@en",C7H8 (toluene),'482',,,339,C7H8 (toluene)
"'IUPAC: ethylbenzene, PubChem CID: 7500, CAS Number: 100-41-4, in gas phase'@en",C8H10 (ethylbenzene),'483',,,340,C8H10 (ethylbenzene)
"'IUPAC: 1,3-xylene, PubChem CID: 7929, CAS Number: 108-38-3, in gas phase'@en",C8H10 (m-xylene),'484',,,341,C8H10 (m-xylene)
"'IUPAC: 1,2-xylene, PubChem CID: 7237, CAS Number: 95-47-6, in gas phase'@en",C8H10 (o-xylene),'485',,,342,C8H10 (o-xylene)
''@en,"C8H10 (Sum of p-xylene and m-xylene, 1,3- and 1,4-dimethylbenzene)",'486',,,343,"C8H10 (Sum of p-xylene and m-xylene, 1,3- and 1,4-dimethylbenzene)"
"'IUPAC: 1,2,4-trimethylbenzene, PubChem CID: 7247, CAS Number: 95-36-3, in gas phase'@en","C9H12 (1,2,4-trimethylbenzene)",'487',,,344,"C9H12 (1,2,4-trimethylbenzene)"
"'IUPAC: 1,3,5-trimethylbenzene, PubChem CID: 7947, CAS Number: 108-67-8, in gas phase'@en","C9H12 (1,3,5-trimethylbenzene)",'488',,,345,"C9H12 (1,3,5-trimethylbenzene)"
